t_sec,xVest_m,yVest_m,zVest_m,omegaXVest_degPSec,omegaYVest_degPSec,omegaZVest_degPSec,xVis_m,yVis_m,zVis_m,xVisDot_mPSec,yVisDot_mPSec,zVisDot_mPSec,omegaXVis_degPSec,omegaYVis_degPSec,omegaZVis_degPSec,g_xvis,g_yvis,g_zvis,g,Pos ON,Vel ON,AngVel ON,G ON,Sickness,thetaXVest_deg,thetaYVest_deg,thetaZVest_deg,thetaXVis_deg,thetaYVis_deg,thetaZVis_deg
0.566883,-0.3247684,-0.5577359,1.069874,-10.95954,-3.587633,31.65887,0.266704,0.4182049,-1.589874,-0.03479461,0.005519146,-0.004020711,10.95954,3.587633,-31.65887,0, 0, -1, 1, 1, 1, 1, 1,0,4.788971,0.5626202,-111.5005,4.788971,0.5626202,-111.5005
0.5778531,-0.3242499,-0.5576875,1.069973,-11.17762,-5.646943,39.77194,0.2661855,0.4181565,-1.589973,-0.046515,-0.00434165,-0.00888648,11.17762,5.646943,-39.77194,0, 0, -1, 1, 1, 1, 1, 1,0,4.666351,0.5006727,-111.0642,4.666351,0.5006727,-111.0642
0.5888239,-0.3237112,-0.5577813,1.070029,-8.525939,-7.291939,44.39608,0.2656468,0.4182503,-1.590029,-0.04864949,0.008473421,-0.005071132,8.525939,7.291939,-44.39608,0, 0, -1, 1, 1, 1, 1, 1,0,4.572815,0.4206743,-110.5771,4.572815,0.4206743,-110.5771
0.6007916,-0.3229869,-0.5578508,1.0701,-6.979337,-6.733862,47.23803,0.2649225,0.4183198,-1.5901,-0.0639025,0.006131527,-0.006236699,6.979337,6.733862,-47.23803,0, 0, -1, 1, 1, 1, 1, 1,0,4.489288,0.3400854,-110.0118,4.489288,0.3400854,-110.0118
0.6117625,-0.3223025,-0.5581282,1.070249,-9.18234,-6.610053,59.80899,0.2642381,0.4185972,-1.590249,-0.06153598,0.02493485,-0.01340791,9.18234,6.610053,-59.80899,0, 0, -1, 1, 1, 1, 1, 1,0,4.38855,0.2675672,-109.3556,4.38855,0.2675672,-109.3556
0.6227332,-0.3216242,-0.5582204,1.070464,-9.037857,-7.699233,65.72266,0.2635598,0.4186894,-1.590464,-0.05989623,0.008142308,-0.01898995,9.037857,7.699233,-65.72266,0, 0, -1, 1, 1, 1, 1, 1,0,4.289398,0.1831013,-108.6346,4.289398,0.1831013,-108.6346
0.633704,-0.3207518,-0.5584353,1.070649,-5.799864,-8.460406,77.64655,0.2626874,0.4189043,-1.590649,-0.07964681,0.01962261,-0.01686914,5.799864,8.460406,-77.64655,0, 0, -1, 1, 1, 1, 1, 1,0,4.225769,0.09028383,-107.7827,4.225769,0.09028383,-107.7827
0.6446746,-0.3197227,-0.5585887,1.070891,-3.315858,-11.05588,90.55464,0.2616583,0.4190577,-1.590891,-0.09183509,0.01369109,-0.02157384,3.315858,11.05588,-90.55464,0, 0, -1, 1, 1, 1, 1, 1,0,4.189392,-0.03100586,-106.7893,4.189392,-0.03100586,-106.7893
0.6556452,-0.3186214,-0.5588733,1.071167,-5.466159,-12.17298,94.6014,0.260557,0.4193423,-1.591167,-0.09835359,0.02541351,-0.02470019,5.466159,12.17298,-94.6014,0, 0, -1, 1, 1, 1, 1, 1,0,4.129425,-0.1645508,-105.7515,4.129425,-0.1645508,-105.7515
0.6666154,-0.3171992,-0.5592107,1.071508,-6.506774,-14.93303,112.2551,0.2591349,0.4196796,-1.591508,-0.1281959,0.03041026,-0.0306789,6.506774,14.93303,-112.2551,0, 0, -1, 1, 1, 1, 1, 1,0,4.058044,-0.3283691,-104.52,4.058044,-0.3283691,-104.52
0.6785837,-0.3157894,-0.5596051,1.071843,-7.800045,-14.90398,105.8252,0.257725,0.420074,-1.591843,-0.1236714,0.03459745,-0.02941593,7.800045,14.90398,-105.8252,0, 0, -1, 1, 1, 1, 1, 1,0,3.964691,-0.5067444,-103.2535,3.964691,-0.5067444,-103.2535
0.6895545,-0.3141988,-0.5599982,1.072226,-6.984872,-18.50393,129.5692,0.2561344,0.4204671,-1.592226,-0.1456642,0.03599848,-0.03509784,6.984872,18.50393,-129.5692,0, 0, -1, 1, 1, 1, 1, 1,0,3.888062,-0.7097473,-101.832,3.888062,-0.7097473,-101.832
0.7005251,-0.3126389,-0.5604419,1.072679,-4.731774,-19.15242,131.7755,0.2545745,0.4209108,-1.592679,-0.1395371,0.03968951,-0.04046794,4.731774,19.15242,-131.7755,0, 0, -1, 1, 1, 1, 1, 1,0,3.836151,-0.9198608,-100.3863,3.836151,-0.9198608,-100.3863
0.7124931,-0.3108609,-0.560788,1.073138,-2.855923,-18.436,122.5618,0.2527966,0.421257,-1.593138,-0.1563497,0.03044284,-0.04038079,2.855923,18.436,-122.5618,0, 0, -1, 1, 1, 1, 1, 1,0,3.801971,-1.140503,-98.9195,3.801971,-1.140503,-98.9195
0.7234639,-0.3090498,-0.5610513,1.073677,-1.265678,-21.02138,137.3045,0.2509854,0.4215203,-1.593677,-0.1641382,0.02386001,-0.04885441,1.265678,21.02138,-137.3045,0, 0, -1, 1, 1, 1, 1, 1,0,3.788086,-1.371124,-97.41316,3.788086,-1.371124,-97.41316
0.7344344,-0.3070196,-0.561323,1.074072,-3.532867,-20.98579,135.055,0.2489552,0.421792,-1.594072,-0.1811484,0.02424051,-0.03523862,3.532867,20.98579,-135.055,0, 0, -1, 1, 1, 1, 1, 1,0,3.749329,-1.601349,-95.93154,3.749329,-1.601349,-95.93154
0.7454051,-0.3050902,-0.5614954,1.074468,-6.264467,-21.50281,137.1715,0.2470258,0.4219644,-1.594468,-0.1738122,0.0155341,-0.03572896,6.264467,21.50281,-137.1715,0, 0, -1, 1, 1, 1, 1, 1,0,3.680603,-1.83725,-94.42667,3.680603,-1.83725,-94.42667
0.7563751,-0.3032557,-0.5615836,1.074937,-11.75358,-19.66256,134.5222,0.2451913,0.4220526,-1.594937,-0.1642918,0.007900312,-0.0419357,11.75358,19.66256,-134.5222,0, 0, -1, 1, 1, 1, 1, 1,0,3.551666,-2.052948,-92.95097,3.551666,-2.052948,-92.95097
0.7673463,-0.3014821,-0.5616608,1.075289,-11.48804,-18.06655,127.8302,0.2434177,0.4221298,-1.595289,-0.1577764,0.006861225,-0.031305,11.48804,18.06655,-127.8302,0, 0, -1, 1, 1, 1, 1, 1,0,3.425629,-2.25116,-91.54852,3.425629,-2.25116,-91.54852
0.7783167,-0.2996952,-0.5616857,1.075686,-9.182758,-21.36431,118.8619,0.2416308,0.4221547,-1.595686,-0.1605496,0.002238521,-0.03571994,9.182758,21.36431,-118.8619,0, 0, -1, 1, 1, 1, 1, 1,0,3.32489,-2.485535,-90.24455,3.32489,-2.485535,-90.24455
0.7902847,-0.2980197,-0.5616814,1.076128,-4.791321,-21.47807,101.8672,0.2399554,0.4221504,-1.596128,-0.1475939,-0.0003780488,-0.03893903,4.791321,21.47807,-101.8672,0, 0, -1, 1, 1, 1, 1, 1,0,3.267548,-2.742584,-89.02541,3.267548,-2.742584,-89.02541
0.8012557,-0.2964727,-0.5615274,1.076466,2.826165,-24.82908,97.95889,0.2384083,0.4219964,-1.596466,-0.141891,-0.01412103,-0.03095366,-2.826165,24.82908,-97.95889,0, 0, -1, 1, 1, 1, 1, 1,0,3.298553,-3.014984,-87.9507,3.298553,-3.014984,-87.9507
